,Volumetry,Relevance,Cortical Thickness,Combination,Category
Left_Amygdala,0.2552973672383665,0.14763138316847213,0.0,"(True, True, False)",Volumetry and Relevance
Left_Temporal_Lobe,0.227219061213495,0.20578366583324303,0.1606072716111684,"(True, True, True)",All measurements agree
Right_Temporal_Lobe,0.21823185849182725,0.09961427269652434,0.13187559694946183,"(True, False, True)",Volumetry and CortThk
Left_Hippocampus,0.20990453393585273,0.1721760524841054,0.0,"(True, True, False)",Volumetry and Relevance
Right_Amygdala,0.1966514072480452,0.09515049634915629,0.0,"(True, False, False)",Only Volumetry
Right_Hippocampus,0.18886636783117883,0.08246038245829546,0.0,"(True, False, False)",Only Volumetry
Brain_Region,0.18791193454946553,0.14104243720113052,0.11298952672638318,"(True, True, True)",All measurements agree
Left_Cerebrum,0.18406397883426484,0.14148786574439187,0.12890508447631976,"(True, True, True)",All measurements agree
Cerebrum,0.1728315030853489,0.15515181344325768,0.11298952672638318,"(True, True, True)",All measurements agree
Left_Inf-Lat-Vent,0.17224078539710508,0.0,0.0,"(True, False, False)",Only Volumetry
Right_Cerebrum,0.16806962624944433,0.0991421187218493,0.09197174019594145,"(True, False, False)",Only Volumetry
Left_Middle_Temporal,0.16313547428976127,0.09667438186150257,0.13801145116107305,"(True, False, True)",Volumetry and CortThk
Left_Entorhinal,0.15151539794071667,0.12299929208903082,0.18724846941838846,"(True, True, True)",All measurements agree
Right_Middle_Temporal,0.15045055446977473,0.07632921369022228,0.11000644517076497,"(True, False, True)",Volumetry and CortThk
Right_Diencephalon,0.14293647567164225,0.057606091648343405,0.0,"(True, False, False)",Only Volumetry
Right_Inf-Lat-Vent,0.1385142478140815,0.0,0.0,"(True, False, False)",Only Volumetry
Left_Diencephalon,0.13679002154615638,0.0629769896063288,0.0,"(True, False, False)",Only Volumetry
Right_Inferior_Temporal,0.134110568154445,0.08451824821459031,0.1221656187925575,"(True, False, True)",Volumetry and CortThk
Right_Ventral_Diencephalon,0.133020864343933,0.07402989677848071,0.0,"(True, False, False)",Only Volumetry
Left_Inferior_Temporal,0.13033337820636248,0.12470228739289668,0.13780809018274232,"(True, True, True)",All measurements agree
Left_Ventral_Diencephalon,0.1297854957984157,0.09033416532229177,0.0,"(True, False, False)",Only Volumetry
Right_Superior_Temporal,0.12938840437727706,0.06990971074090657,0.10940722370074063,"(True, False, True)",Volumetry and CortThk
Left_Cingulate_Gyrus,0.12603025457051542,0.10261343395907208,0.05227078871905588,"(True, True, False)",Volumetry and Relevance
Left_Thalamus,0.12301439594306318,0.04635230729738904,0.0,"(True, False, False)",Only Volumetry
Left_Parietal_Lobe,0.12121402383558566,0.08341808962665365,0.07992691191463663,"(True, False, False)",Only Volumetry
Right_Entorhinal,0.1199468255884768,0.06000693131914714,0.13203524307709058,"(True, False, True)",Volumetry and CortThk
Left_Superior_Temporal,0.11981817055548971,0.11511909936699061,0.1319292137834953,"(True, True, True)",All measurements agree
Left_Basal_Ganglia,0.11970936142519895,0.09675620241669547,0.0,"(True, False, False)",Only Volumetry
Left_Superior_Frontal,0.1164240402604193,0.05988872518998711,0.1004742549499027,"(True, False, True)",Volumetry and CortThk
Right_Thalamus,0.11358120349790246,0.05725390931433649,0.0,"(True, False, False)",Only Volumetry
Right_Parietal_Lobe,0.11355626291276799,0.07519491750818164,0.07911329581316062,"(True, False, False)",Only Volumetry
Right_Fusiform,0.11337845806186264,0.06316268307264439,0.0758640871345806,"(True, False, False)",Only Volumetry
Left_Frontal_Lobe,0.112877043263099,0.09459798505646955,0.09986925842859184,"(True, False, False)",Only Volumetry
Left_Cerebral_White_Matter,0.11177696543752313,0.0,0.0,"(True, False, False)",Only Volumetry
Right_Basal_Ganglia,0.11093288152196035,0.09773819783313709,0.0,"(True, False, False)",Only Volumetry
Right_Rostral_Middle_Frontal,0.10993869784018306,0.07411748333180723,0.07129829148090883,"(True, False, False)",Only Volumetry
Right_Inferior_Parietal,0.10880344603453684,0.06595196441420326,0.09148744603659864,"(True, False, False)",Only Volumetry
3rd-Ventricle,0.10874787576464762,0.0,0.0,"(True, False, False)",Only Volumetry
Left_Insula,0.10701827955500676,0.09658625415569988,0.047412771365706874,"(True, False, False)",Only Volumetry
Left_Rostral_Anterior,0.10616668856833567,0.024978611065385792,0.03850364628932823,"(True, False, False)",Only Volumetry
White_Matter,0.10525668022216195,0.0,0.0,"(True, False, False)",Only Volumetry
Right_Frontal_Lobe,0.10344392633349653,0.053002594716413665,0.06372287602358728,"(True, False, False)",Only Volumetry
Left_Putamen,0.10227894483204025,0.12395124827256776,0.0,"(True, True, False)",Volumetry and Relevance
Right_Superior_Frontal,0.10147715841256355,0.021144430108710477,0.07083664629303943,"(True, False, False)",Only Volumetry
Left_Inferior_Parietal,0.10049437473049982,0.04680517381872562,0.10518285507559,"(True, False, True)",Volumetry and CortThk
Left_Nucleus_Accumbens,0.09992694593547125,0.10904345358466738,0.0,"(False, True, False)",Only Relevance
Right_Parahippocampal,0.09981946443975298,0.07209519084357785,0.06689783082030276,"(False, False, False)",No measurement relevant
Right_Cerebral_White_Matter,0.09797549840575348,0.0,0.0,"(False, False, False)",No measurement relevant
Cerebrospinal_Fluid,0.09755661016889094,0.0,0.0,"(False, False, False)",No measurement relevant
Left_Rostral_Middle_Frontal,0.0972171447880461,0.0842487740132154,0.10120919781625082,"(False, False, True)",Only CortThk
Right_Insula,0.09478767234552388,0.11320230305113821,0.04648760709013988,"(False, True, False)",Only Relevance
Left_Caudal_Anterior,0.09409634545587231,0.07389672899929556,0.022196812734418092,"(False, False, False)",No measurement relevant
Left_Parahippocampal,0.09391834809250987,0.1369161623023607,0.08729691762132452,"(False, True, False)",Only Relevance
Right_Putamen,0.09357878535721209,0.08757973896638838,0.0,"(False, False, False)",No measurement relevant
Right_Lateral_Ventricle,0.09191257184962298,0.0,0.0,"(False, False, False)",No measurement relevant
Right_Nucleus_Accumbens,0.09143640668914577,0.1064921543357209,0.0,"(False, True, False)",Only Relevance
Left_Fusiform,0.09142019471973573,0.12928279987291624,0.07421143508323658,"(False, True, False)",Only Relevance
Right_Precuneus,0.0887882210514892,0.06085326834309024,0.07792761246626512,"(False, False, False)",No measurement relevant
Left_Lateral_Ventricle,0.08431285045006076,0.0,0.0,"(False, False, False)",No measurement relevant
Left_Medial_Orbitofrontal,0.0829833236106321,0.0815397325674887,0.06121861944790474,"(False, False, False)",No measurement relevant
Left_Precuneus,0.08225121183152773,0.03817781159865241,0.07823131041321973,"(False, False, False)",No measurement relevant
CSF,0.08221423632480374,0.0,0.0,"(False, False, False)",No measurement relevant
Central,0.08207080077679896,0.0,0.0,"(False, False, False)",No measurement relevant
Right_Cingulate_Gyrus,0.0794862218522332,0.0870418548376155,0.026330341981769312,"(False, False, False)",No measurement relevant
Left_Pallidum,0.0783702421147483,0.0262913335748598,0.0,"(False, False, False)",No measurement relevant
Left_Lateral_Orbitofrontal,0.07387719125458014,0.11654313297244911,0.04660792241928302,"(False, True, False)",Only Relevance
Right_Caudate_Nucleus,0.07316268035144669,0.08865368352590997,0.0,"(False, False, False)",No measurement relevant
Right_Caudal_Middle_Frontal,0.0707729197309912,0.057377977737981034,0.0779241576774683,"(False, False, False)",No measurement relevant
Right_Supramarginal,0.06997341182243311,0.06653574694883568,0.06546001572186722,"(False, False, False)",No measurement relevant
Left_Caudate_Nucleus,0.06989783266957339,0.06814168746443672,0.0,"(False, False, False)",No measurement relevant
Corpus_Callosum,0.06907984412550316,0.0,0.0,"(False, False, False)",No measurement relevant
Right_Medial_Orbitofrontal,0.06895254490317226,0.11631715940300635,0.03242783385150849,"(False, True, False)",Only Relevance
Left_Caudal_Middle_Frontal,0.06839623314815313,0.08368423742829956,0.0996424696135021,"(False, False, False)",No measurement relevant
Mid_Anterior,0.06789671578904422,0.0,0.0,"(False, False, False)",No measurement relevant
Right_Lateral_Orbitofrontal,0.06706680051829084,0.11186794111535026,0.020257728156994226,"(False, True, False)",Only Relevance
Right_Pars_Opercularis,0.06571732561446364,0.07607174842227282,0.07102462256973929,"(False, False, False)",No measurement relevant
Left_Pars_Opercularis,0.06406854033675646,0.09408875858381327,0.04366924591002386,"(False, False, False)",No measurement relevant
Left_Posterior,0.06402245945564555,0.04123417302549326,0.04069802065438477,"(False, False, False)",No measurement relevant
Left_Supramarginal,0.0612560565073359,0.05053848797215643,0.05170607543279271,"(False, False, False)",No measurement relevant
Anterior,0.05958796684412215,0.0,0.0,"(False, False, False)",No measurement relevant
Brainstem,0.05668090825471861,0.0,0.0,"(False, False, False)",No measurement relevant
Right_Cerebellum_White_Matter,0.05610227591884209,0.0,0.0,"(False, False, False)",No measurement relevant
WM_Hypointensities,0.05001224787638403,0.0,0.0,"(False, False, False)",No measurement relevant
Left_Cerebellum,0.04941648734810977,0.054162853604069916,0.0,"(False, False, False)",No measurement relevant
Right_Posterior,0.04930551549138684,0.042743818276287815,0.026109534790260458,"(False, False, False)",No measurement relevant
Right_Isthmus,0.049065867436477006,0.07797181280270848,0.05844740071195664,"(False, False, False)",No measurement relevant
Left_Isthmus,0.048584476695552326,0.08035812216404459,0.07366876015376755,"(False, False, False)",No measurement relevant
Left_Choroid_Plexus,0.04727632020522421,0.0,0.0,"(False, False, False)",No measurement relevant
Right_Rostral_Anterior,0.04463857781727798,0.03913402782831055,0.034322937555798294,"(False, False, False)",No measurement relevant
Right_Pallidum,0.04361423549138488,0.04504286913072253,0.0,"(False, False, False)",No measurement relevant
Right_Pars_Triangularis,0.04294718185239832,0.0703460508599103,0.049319378806165215,"(False, False, False)",No measurement relevant
Left_Cerebellum_White_Matter,0.04165507211510988,0.0,0.0,"(False, False, False)",No measurement relevant
Cerebellum,0.041475216825929806,0.024578832771280368,0.0,"(False, False, False)",No measurement relevant
Left_Pars_Orbitalis,0.0414706532697382,0.06671797616502051,0.05040803987564413,"(False, False, False)",No measurement relevant
Right_Cerebellum,0.039995362156836745,0.04398313653992947,0.0,"(False, False, False)",No measurement relevant
Right_Pars_Orbitalis,0.03723308666196745,0.08701181849617212,0.03494291200533306,"(False, False, False)",No measurement relevant
Right_Precentral,0.036763535913000744,0.03277882468655635,0.0337095434700152,"(False, False, False)",No measurement relevant
Left_Paracentral,0.036433469799835194,0.003584017637919601,0.027736392640492102,"(False, False, False)",No measurement relevant
Left_Superior_Parietal,0.03413472027812681,0.04263256203790533,0.052097120811337216,"(False, False, False)",No measurement relevant
Left_Transverse_Temporal,0.033857656625728705,0.06465669654599715,0.01597224725776547,"(False, False, False)",No measurement relevant
Right_Cerebellum_Cortex,0.03265016225853801,0.036736767536182935,0.0,"(False, False, False)",No measurement relevant
Right_Caudal_Anterior,0.03237468432202384,0.036328873797522476,0.011621196460961158,"(False, False, False)",No measurement relevant
Right_Choroid_Plexus,0.03128966790033161,0.0,0.0,"(False, False, False)",No measurement relevant
Left_Precentral,0.030427530397694635,0.04677037475447232,0.04940537631638087,"(False, False, False)",No measurement relevant
Right_Superior_Parietal,0.030331969898037325,0.02295768379049301,0.05766360839882134,"(False, False, False)",No measurement relevant
Left_Cerebellum_Cortex,0.02895706115096841,0.03910089700447106,0.0,"(False, False, False)",No measurement relevant
Right_Paracentral,0.028922104126102077,0.008399279526422276,0.019648768322430676,"(False, False, False)",No measurement relevant
Right_Transverse_Temporal,0.027975150323653164,0.02566587393646591,0.0,"(False, False, False)",No measurement relevant
Right_Postcentral,0.027864348094329916,0.03268278339965658,0.05698026542240919,"(False, False, False)",No measurement relevant
Left_Postcentral,0.025107097182650584,0.035063809789417366,0.05116138905751022,"(False, False, False)",No measurement relevant
Left_Pericalcarine,0.024740330337235772,0.011549761669065628,0.009239322637577096,"(False, False, False)",No measurement relevant
Posterior,0.020303257798010677,0.0,0.0,"(False, False, False)",No measurement relevant
Left_Lateral_Occipital,0.01911671180639818,0.009898013707736464,0.049510635796552904,"(False, False, False)",No measurement relevant
Left_Pars_Triangularis,0.01893989325074541,0.09859890600204757,0.06294371004365518,"(False, False, False)",No measurement relevant
Right_Lingual,0.01701846029848708,0.008529927219953937,0.012577152453212115,"(False, False, False)",No measurement relevant
4th-Ventricle,0.015891931528170034,0.0,0.0,"(False, False, False)",No measurement relevant
Left_Occipital_Lobe,0.014067992390899953,0.039388138214957014,0.04499982370962741,"(False, False, False)",No measurement relevant
Mid_Posterior,0.013381175833425463,0.0,0.0,"(False, False, False)",No measurement relevant
Right_Lateral_Occipital,0.013055181087619605,0.0557507467063294,0.05158780113774153,"(False, False, False)",No measurement relevant
Right_Occipital_Lobe,0.012524538732836987,0.05025642008974884,0.039922099881726236,"(False, False, False)",No measurement relevant
Right_Pericalcarine,0.01189450951063531,0.021463549024956396,0.0,"(False, False, False)",No measurement relevant
Left_Lingual,0.009749476134219393,0.054531932356784996,0.001505354885652288,"(False, False, False)",No measurement relevant
Right_Cuneus,0.005346154688036897,0.016995026929597312,0.030845455751074002,"(False, False, False)",No measurement relevant
Left_Cuneus,0.0004474093155746317,0.0,0.0185587280339381,"(False, False, False)",No measurement relevant
